Molecule_Name,HOMO,HOMO_LUMO_Gap,LUMO,ODI_HOMO,ODI_LUMO,ODI_Mean,ODI_Std,ESPmin,ESPmax,MolWt,TPSA,Dipole_Moment,NumHAcceptors,NumRotatableBonds,Nonpolar_Area,Polar_Area,Overall_Variance,Quadrupole_Moment,Octopole_Moment,NumHeteroatoms,NumAromaticRings,MolLogP,Volume,Density,Initial_PCE,,
1988562,-0.229416,0.162088,-0.067328,8.98,9.73,10.8925,1.5869054004571284,-41.62591,68.89534,324.76000000000005,76.74000000000001,2.143622,4,6,40.19,59.81,0.00064315,49.975091,551.6767,6,2,3.640900000000002,2508.29693,1.4509,24.5,,
1717536,-0.193786,0.137756,-0.05603,6.94,6.59,7.095,0.3810839802458245,-42.35766,15.24422,352.3700000000001,35.53,1.48357,3,6,61.49,38.51,0.00023296,13.022476,219.8696,4,4,6.350100000000006,2852.35924,1.3843,24.5,,
4615047,-0.451192,0.209181,-0.242011,6.04,5.27,6.015,1.0335980843635502,74.44104,167.05511,544.5680000000001,74.6,2.985339,2,13,0,100,0.0004707,54.915722,552.8556,6,4,5.273000000000005,4389.71495,1.3901,24.5,,
1696002,-0.225757,0.151086,-0.074671,8.66,7.45,7.565,0.6621366928361545,-34.47642,54.06388,330.72300000000007,76.74000000000001,3.134591,4,4,59.74,40.26,0.00036098,26.586917,277.8491,6,3,3.576800000000002,2370.19942,1.5636,24.5,,
1947888,-0.211917,0.256615,0.044698,60.27,15.45,34.68,22.61965185408476,-44.21729,22.80092,315.35600000000005,38.77,4.264846,4,10,52.97,47.03,0.00043222,21.508448,142.1389,7,0,3.9662000000000033,2704.47985,1.3066,24.5,,
1705204,-0.226426,0.150407,-0.076019,8.47,7.46,7.640000000000001,0.5106368572674717,-35.73688,62.45432,358.7770000000001,76.74000000000001,6.164224,4,5,56.32,43.68,0.00045665,12.617708,326.287,6,3,4.139200000000002,2680.39123,1.4999,24.5,,
281242,-0.239042,0.278722,0.03968,33.95,10.34,21.0225,11.051978046938023,-42.3014,54.57472,140.079,109.57,3.152163,3,2,29.91,70.09,0.00077592,11.910977,115.235,6,0,-1.5924,1046.66789,1.4997,24.5,,
1651970,-0.225239,0.156414,-0.068825,8.54,8.54,9.49,1.3121356637177428,-34.37159,21.47544,459.2810000000002,78.88,5.046388,6,6,57.81,42.19,0.00022042,26.573243,403.0968,8,4,6.115500000000005,3308.46602,1.5556,24.5,,
1365940,-0.235921,0.176902,-0.059019,10.59,5.12,7.645,1.9694732798390533,-43.6046,53.70277,361.3530000000001,103.7,7.985215,3,5,37.48,62.52,0.00077926,54.33325,775.7819,6,3,4.002300000000002,2761.74805,1.4662,24.5,,
1008352,-0.24157,0.209926,-0.031645,11.04,8.98,11.59,3.362930269868824,-51.38321,17.75466,364.3810000000001,43.370000000000005,5.246404,3,6,54.52,45.48,0.00052717,26.24284,171.225,4,3,3.7848000000000015,2999.5935,1.3612,24.5,,
1008351,-0.24157,0.209926,-0.031645,11.04,8.98,11.59,3.362930269868824,-51.38325,17.75475,364.3810000000001,43.370000000000005,5.246427,3,6,54.52,45.48,0.00052718,26.243325,171.219,4,3,3.7848000000000015,2999.59746,1.3612,24.5,,
432697,-0.216306,0.193697,-0.022609,11.73,11.48,11.025,0.7387997022197559,-39.14725,58.97678,541.5680000000001,57.61,2.825201,2,13,56.65,43.35,0.00032617,24.579956,323.5388,6,4,4.945600000000004,4547.09361,1.3346,24.5,,
1326078,-0.251213,0.195047,-0.056166,23.12,13.03,14.11,5.613381333919868,-46.81745,45.57376,378.364,71.44,3.631703,3,7,51.37,48.63,0.00047963,25.109448,380.4445,5,3,3.726700000000003,3008.06436,1.4095,24.5,,
1326077,-0.251213,0.195047,-0.056166,23.12,13.03,14.11,5.613381333919868,-46.81745,45.57376,378.364,71.44,3.631704,3,7,51.37,48.63,0.00047963,25.109447,380.4445,5,3,3.726700000000003,3008.06436,1.4095,24.5,,
103758895,-0.266665,0.177475,-0.08919,12.38,14.74,12.3525,1.715158520370639,-35.64397,37.37138,290.225,76.16,7.089278,4,4,32.64,67.36,0.00048043,49.27163,536.9689,7,2,3.3236800000000013,2037.20651,1.5964,24.5,,
3801908,-0.226875,0.267343,0.040468,36.13,10.9,21.385,13.18404433396672,-49.5306,50.46979,165.17299999999997,49.33,4.880401,2,3,41.78,58.22,0.00073272,13.313075,65.5065,4,0,1.0880999999999998,1476.388,1.2537,24.5,,
1714047,-0.228624,0.147477,-0.081148,8.87,8.12,18.9525,17.27949272258882,-36.70838,28.42487,306.745,56.51,2.69365,4,6,55.09,44.91,0.00040466,38.358481,420.3039,5,2,4.369400000000004,2404.31961,1.4296,24.5,,
1256651,-0.182677,0.15682,-0.025857,6.29,5.88,7.854999999999999,2.630860125510286,-44.00682,44.64278,442.8550000000003,130.92000000000002,2.491267,8,5,48.08,51.92,0.00042247,56.313712,289.8644,9,4,5.0172000000000025,3265.7302,1.5196,24.5,,
2319460,-0.302552,0.16821,-0.134341,7.11,5.46,8.92,5.449316470897979,17.64739,126.74092,552.6350000000002,69.96000000000001,7.08434,5,12,0,100,0.00072203,51.569355,550.5381,7,5,7.234600000000007,4551.01361,1.3607,24.5,,
2319458,-0.302552,0.16821,-0.134341,7.11,5.46,8.92,5.449316470897979,17.6473,126.74082,552.6350000000002,69.96000000000001,7.084315,5,12,0,100,0.00072202,51.569504,550.5381,7,5,7.234600000000007,4551.00532,1.3607,24.5,,
85763144,-0.211747,0.190964,-0.020783,17.53,7.05,9.7775,4.525325264552815,-39.09702,61.80721,320.32800000000003,37.3,3.879414,1,5,57.84,42.16,0.00048522,29.489321,486.3707,3,3,3.071900000000002,2662.80922,1.348,24.5,,
1550423,-0.232668,0.257316,0.024648,35.06,16.91,23.825,12.717850643878467,-59.08634,62.24544,181.172,65.97,7.852809,3,4,32.67,67.33,0.00139691,18.085204,65.4382,5,0,-0.4944,1533.79136,1.3236,24.5,,
2014098,-0.227911,0.169766,-0.058145,7.42,9.31,14.5925,12.293456338638048,-40.3778,21.5032,356.8050000000001,56.51,6.204273,4,3,53.78,46.22,0.00030054,9.915346,538.7579,5,3,4.983220000000004,2772.36907,1.4422,24.5,,
