ID,HOMO,HOMO_LUMO_Gap,LUMO,ODI_HOMO,ODI_LUMO,ODI_Mean,ODI_Std,ESPmin,ESPmax,MolWt,TPSA,Dipole_Moment,NumHAcceptors,NumRotatableBonds,Nonpolar_Area,Polar_Area,Overall_Variance,Quadrupole_Moment,Octopole_Moment,NumHeteroatoms,NumAromaticRings,MolLogP,Volume,Density,Initial_PCE,Enhanced_PCE
185,-0.184698,0.136009,-0.048689,6.99,8.78,7.11,1.124255309,-43.21304,50.41194,608.741,43.78,5.815247,3,9,69.98,30.02,0.00027736,43.283397,666.4928,4,7,11.6584,5042.78578,1.3527,19.38,22.25
186,-0.167331,0.107606,-0.059725,6.43,4.28,5.06,0.855248502,-32.71602,21.42782,1134.521,65.52,4.444631,10,27,67.05,32.95,0.00013189,60.312827,583.0053,10,10,21.0399,9568.80248,1.3286,14.2,15.33
187,-0.172114,0.104149,-0.067965,2.63,4.99,3.67,0.887693641,-41.08373,18.51431,1079.442,109.44,3.011852,12,29,72.7,27.3,0.00024561,48.108356,866.9079,12,8,19.00656,9148.71829,1.3221,18.4,21.1
188,-0.178833,0.07262,-0.106212,7.22,6.01,7.1975,1.006165369,-37.7381,25.97771,858.998,90.98,8.163676,8,12,62.27,37.73,0.00023334,25.636361,645.6094,8,9,14.53856,6930.70179,1.3888,19.78,20.34
189,-0.167761,0.108776,-0.058985,3.25,4.35,3.4075,0.590608796,-23.82194,19.23664,1017.599,6.48,1.352035,8,22,73.27,26.73,0.0001184,30.512827,2034.6678,8,8,21.1781,8617.98622,1.3231,20.26,20.77
190,-0.13453,0.021945,-0.112585,7.38,15.18,9.225,3.789363403,-59.19634,27.64841,993.217,77.99,10.988701,10,18,52.69,47.31,0.00036767,77.408837,1452.4964,10,9,16.2861,8032.39023,1.3856,12.14,12.99
192,-0.249487,0.25571,0.006223,45.94,28.71,40.165,7.011777592,-37.2905,51.05242,75.067,63.32,1.304632,2,1,33.66,66.34,0.00049739,4.484119,77.3122,3,0,-0.9703,616.99747,1.3634,15.27,17.96
193,-0.158788,0.128809,-0.029979,6.32,2.88,4.71,1.250399936,-25.99013,18.43289,935.224,26.63,2.651059,4,16,67.88,32.12,0.00014576,30.25716,787.4329,4,11,18.8638,7978.55906,1.3135,18.87,20.06
194,-0.191335,0.123162,-0.068173,7.06,7.98,6.8075,0.869809606,-44.20203,49.6323,371.461,40.54,7.327098,3,5,62.06,37.94,0.00045817,45.046136,898.9205,4,4,6.5831,2963.30965,1.4047,19.41,20.58
195,-0.185052,0.169261,-0.015791,6.88,8.04,8.125,0.889058491,-40.29422,55.24574,335.296,80.92,1.277256,4,5,45.16,54.84,0.00041326,29.659151,301.4072,7,3,2.9894,2574.82899,1.4592,22.8,24.8
196,-0.155595,0.127582,-0.028013,3.54,6.26,4.17,1.214804511,-37.63586,57.80465,729.77,105.86,2.893634,8,13,51.04,48.96,0.0002898,39.302753,1023.0078,11,7,9.9462,5792.64835,1.4117,18.9,17.5
197,-0.170878,0.131966,-0.038912,5.33,6.21,6.0825,0.759782041,-27.23686,19.483,703.061,6.48,3.695981,7,10,62.44,37.56,0.00012226,38.155664,654.5706,7,7,13.8817,5625.69507,1.4004,19.22,21.12
198,-0.169184,0.110684,-0.058499,2.49,3.8,3.2875,0.540942465,-31.75375,19.81394,1125.404,61.86,0.471776,10,26,66.66,33.34,0.00017457,135.761305,214.4517,14,9,20.1708,9049.9742,1.3935,12.6,18.69
199,-0.233798,0.261448,0.02765,71.83,33.79,36.05,21.78252969698423,-44.28458,59.03855,284.35799999999983,66.76,3.715675,3,12,61.58,38.42,0.00053004,45.44149,1047.4028,6,0,3.5364000000000027,2509.11461,1.2699,23.29,25.19
201,-0.225035,0.258257,0.033222,22.8,19.22,32.535000000000004,13.04658863458184,-45.63008,51.18216,68.079,28.68,3.716505,1,0,36.65,63.35,0.00082921,5.741629,24.475,2,1,0.4096999999999999,597.20902,1.2774,24.19,26.05
202,-0.187506,0.141492,-0.046015,4.33,8.93,6.53,1.8778178825434588,-40.3726,55.4006,515.5960000000002,62.46,1.138035,4,4,57.33,42.67,0.00033584,26.659973,682.9529,7,6,7.660540000000008,3932.89231,1.469,23.85,25.62
203,-0.210043,0.18985,-0.020193,10.74,5.97,8.2575,2.450238508798684,-26.59231,15.80201,412.4530000000001,0,2.749922,0,8,66.38,33.62,0.00012625,16.020849,282.2602,2,4,5.642300000000005,3620.1193,1.2767,22.6,24.5
204,-0.252211,0.261548,0.009337,25.15,26.3,22.7175,3.119385957203757,-40.18323,47.4251,132.119,92.42,3.603207,2,3,35.66,64.34,0.00077347,16.794856,152.2004,5,0,-0.8706,1037.31228,1.4272,23.14,25.32
205,-0.194882,0.130653,-0.064229,7.68,10.18,6.9975,2.129511387619235,-42.80274,57.97249,431.3210000000001,118.3,7.347542,3,6,54.72,45.28,0.00052618,29.167172,444.1008,9,3,4.810200000000005,3169.3933,1.525,23.88,26.11
206,-0.221339,0.193197,-0.028143,21.04,8.3,13.7325,5.283953893629277,-33.38887,48.12163,244.23,37.3,2.575852,1,4,63.97,36.03,0.00028919,6.152311,156.5052,3,2,2.2039,2008.62992,1.3625,23.77,26.53
207,-0.301828,0.241355,-0.060474,29.02,13.89,22.75,8.19406797628626,-30.62189,66.66385,190.04800000000003,74.6,3.188519,2,3,48.75,51.25,0.00088447,14.502536,113.4134,8,0,0.4262,997.88839,2.1342,23.99,25.92
208,-0.191558,0.165306,-0.026252,8.07,6.5,6.705,0.8454732402625172,-35.67133,17.2747,461.5140000000004,82.13999999999999,1.929876,7,9,61.19,38.81,0.0003005,32.61723,1002.22,7,3,5.345700000000005,3785.53926,1.3661,23.1,26.3
209,-0.335753,0.340986,0.005233,27.39,7.27,11.8575,9.0446762656272,-3.45168,19.22167,521.0639999999999,3.24,0.245088,1,6,95.44,4.56,3.72e-05,0.497501,11.9844,22,0,6.659600000000001,2134.40349,2.7357,24.47,25.7
210,-0.214236,0.147133,-0.067103,7.64,5.82,6.4075,0.7913082522001142,-40.27302,56.96188,377.3520000000001,115.14,2.639558,4,6,48.1,51.9,0.00063098,51.832973,561.2131,7,3,4.251000000000003,2822.39634,1.4982,23.29,26.5
211,-0.25876,0.209325,-0.049435,13.89,11.65,15.065,2.545078584248432,-31.83328,50.30424,140.113,37.3,1.33572,1,1,63.44,36.56,0.00043436,8.162009,124.4157,3,1,1.5239,1020.28872,1.5389,23.4,25.58
212,-0.236765,0.280898,0.044133,48.74,14.84,29.3,17.90032960590391,-41.06842,53.38733,139.091,83.55000000000001,1.305299,2,3,40.67,59.33,0.00068108,14.326649,140.1449,5,0,-0.4871,1101.55887,1.4149,25.91,26.25
213,-0.242002,0.167695,-0.074307,7.51,7.12,10.4125,5.526659818552251,-41.20051,58.06987,324.29600000000005,131.33,7.224578,6,4,32.61,67.39,0.00080837,65.372136,582.0461,8,3,1.7222999999999993,2390.14436,1.5204,23.06,25.03
